site_name,difference_index_mag_arcsec2,ratio_index
Powell Butte Park,-0.07,0.938
Portland SE,-0.06,0.946
PCC Rock Creek,-0.01,0.991
Hoyt Arboretum,0.00,1.000
Jenkins Estate,0.01,1.009
Portland SW,0.02,1.019
Mt Pisgah Arboretum,0.05,1.047
Junction City,0.06,1.057
Eugene Downtown,0.08,1.076
Awbrey Butte,0.09,1.086
Hopservatory,0.09,1.086
Awbrey Butte Chimney,0.10,1.096
Humbug Mtn State Park,0.11,1.107
Arizona Beach State Park,0.14,1.138
Sisters East,0.14,1.138
Tetherow,0.15,1.148
Talent,0.17,1.169
Wallowa Lake State Park,0.17,1.169
Crooked River Ranch,0.18,1.180
Jordan Craters,0.18,1.180
Madras,0.18,1.180
Stub Stewart State Park,0.18,1.180
Redmond West,0.19,1.191
Halfway,0.19,1.191
Manzanita,0.19,1.191
Lowell NE,0.20,1.202
Paulina Lake Visitor Center,0.20,1.202
Black Butte Ranch House,0.20,1.202
Mosier Ranch,0.20,1.202
Lava Cast Forest,0.21,1.213
High Desert Museum,0.22,1.225
Neskowin,0.23,1.236
Rimrock Ranch,0.24,1.247
Grizzly Mountain,0.24,1.247
Cape Blanco State Park,0.25,1.259
Playa Summer Lake,0.25,1.259
Oregon Observatory Sunriver,0.25,1.259
Bandon,0.26,1.265
Oregon Caves National Monument,0.26,1.271
Pine Mountain Observatory,0.26,1.271
Hyatt Lake,0.26,1.271
Lava Butte,0.26,1.271
Camp Hancock,0.27,1.282
Sisters High School,0.27,1.282
Cottonwood Canyon State Park,0.28,1.294
Hart Mountain Camp,0.28,1.294
Summit Prairie,0.28,1.294
Alvord Desert,0.29,1.306
Malheur Field Station,0.29,1.306
Raven Ridge,0.29,1.306
Shooting Star ranch,0.29,1.306
Camas Sno Park,0.30,1.318
Black Butte Meadow,0.30,1.318
Prineville Reservoir State Park,0.30,1.318
Crater Lake National Park,0.33,1.355
Hart Mountain,0.33,1.355
Antelope,0.38,1.419